,WORD,COUNT,DELETE
2272,awarded,153,0
838,owned,153,0
622,paid,153,0
3,children,152,0
1628,passed,152,0
2193,th,151,0
3394,assistance,151,0
394,family,151,0
186,university,151,0
438,pennsylvania,150,0
915,well,150,0
447,number,150,0
450,using,150,0
586,failure,149,0
734,fact,148,0
884,co,148,0
231,stated,148,0
4952,cocaine,147,0
2502,foreign,147,0
1082,began,146,0
1040,support,146,0
959,violations,146,0
132,legal,145,0
1338,intent,145,0
2629,provides,144,0
615,taxes,144,0
396,attempted,144,0
2247,although,144,0
1412,washington,144,0
864,back,143,0
3236,liability,143,0
639,offense,142,0
2528,removal,142,0
313,period,142,0
601,qualified,142,0
1872,access,141,0
291,petitioners,141,0
1340,reasoned,141,0
1046,dismissal,140,0
521,present,140,0
807,firearm,139,0
947,even,139,0
820,admitted,139,0
1277,maryland,139,0
940,make,139,0
1579,education,139,0
1191,determine,138,0
1557,denial,138,0
558,religious,138,0
536,old,138,0
1302,election,137,0
1368,force,137,0
1536,result,137,0
1157,filing,136,0
1759,lacked,136,0
135,e,136,0
567,political,135,0
988,agents,135,0
793,williams,134,0
74,exchange,134,0
787,vehicle,134,0
1639,others,133,0
2086,ground,132,0
3463,fraud,132,0
61,pending,132,0
1049,show,132,0
3623,regarding,132,0
529,suppress,131,0
1660,amended,131,0
3890,reversing,131,0
494,social,131,0
1023,circumstances,130,0
1137,tried,130,0
525,indicted,130,0
1479,place,130,0
1795,violate,129,0
497,among,129,0
2163,permit,128,0
3013,products,128,0
2552,article,128,0
2136,test,128,0
2056,file,128,0
1593,students,128,0
1740,rather,128,0
889,barred,128,0
154,international,127,0
865,injury,127,0
49,john,127,0
1585,included,127,0
2847,compensation,126,0
574,given,126,0
335,gave,126,0
3376,johnson,126,0
3385,smith,125,0
606,credit,125,0
1620,prove,124,0
421,black,124,0
4178,fee,124,0
1310,release,124,0
1685,employer,124,0
2471,sold,124,0
1464,judicial,124,0
3320,provisions,123,0
1051,seventh,123,0
1577,enacted,123,0
2492,term,123,0
14,took,123,0
1185,return,123,0
119,material,123,0
633,plea,123,0
3129,settlement,123,0
1092,making,122,0
461,called,122,0
1188,direct,122,0
3208,marijuana,122,0
1292,statutory,121,0
1423,columbia,121,0
1153,james,121,0
714,behalf,121,0
20,parents,121,0
2041,price,121,0
1722,leave,120,0
1022,similar,120,0
2176,post,120,0
1379,status,120,0
1234,require,120,0
1382,legislature,120,0
635,receive,119,0
1969,purpose,118,0
707,challenge,118,0
973,long,118,0
183,student,117,0
2776,precedent,117,0
4314,us,117,0
849,ordinance,117,0
1973,individuals,116,0
872,louisiana,116,0
648,original,116,0
1387,districts,116,0
3243,retirement,116,0
2634,wife,116,0
1940,separate,115,0
549,schools,115,0
2640,securities,115,0
209,informed,115,0
424,white,115,0
1444,affirming,115,0
3826,consider,115,0
798,instead,114,0
2333,assault,114,0
204,october,114,0
280,pursuant,114,0
2704,conspiracy,114,0
3234,allows,114,0
2851,sovereign,114,0
2032,final,113,0
83,verdict,113,0
212,william,113,0
232,activities,113,0
1248,prevent,113,0
3291,allow,113,0
668,parole,113,0
2080,involved,112,0
2628,told,112,0
1656,requirements,112,0
395,member,112,0
5958,ineffective,112,0
974,standing,112,0
3201,personal,112,0
3143,capital,112,0
1341,consent,112,0
2188,vacated,112,0
1764,caused,111,0
1944,rules,111,0
1085,payments,111,0
1680,indian,111,0
731,consolidated,110,0
2846,infringement,110,0
1112,lack,110,0
804,outside,110,0
2707,necessary,110,0
442,license,110,0
1152,voting,110,0
550,age,109,0
5486,irs,109,0
1634,remand,109,0
1179,debt,109,0
2323,standards,109,0
3470,market,109,0
1966,fair,108,0
462,grand,108,0
2863,imposed,108,0
1451,citizen,108,0
63,discovered,108,0
1804,special,108,0
2050,water,108,0
293,grant,107,0
645,considered,107,0
2075,statement,107,0
852,exception,107,0
355,obtain,106,0
1034,disability,106,0
842,stop,106,0
1798,returned,106,0
1280,imprisonment,106,0
1411,trust,106,0
781,gas,106,0
480,organization,105,0
144,left,105,0
81,error,105,0
474,different,105,0
1205,sufficient,105,0
582,administration,105,0
3130,costs,104,0
3814,presented,104,0
741,regulation,104,0
117,sale,104,0
1524,petitioned,104,0
2995,purposes,103,0
3600,organizations,103,0
1967,substantial,103,0
3131,litigation,103,0
800,removed,102,0
3167,burden,102,0
1871,attorneys,102,0
2569,financial,102,0
243,citizens,102,0
1297,opinion,102,0
430,race,102,0
241,along,101,0
554,high,101,0
2477,sales,101,0
1721,workers,101,0
3194,south,101,0
1346,unless,101,0
360,authorized,101,0
867,oil,101,0
964,form,101,0
242,various,101,0
2636,relevant,101,0
919,full,101,0
651,previous,101,0
1080,payment,101,0
1445,bar,100,0
1203,instructed,100,0
270,created,100,0
3582,intended,100,0
3613,limit,100,0
1578,chapter,100,0
290,requiring,99,0
3673,either,99,0
2315,abortion,99,0
802,though,99,0
1367,air,98,0
400,gun,98,0
24,became,97,0
1747,minimum,97,0
1279,terms,97,0
1456,take,97,0
689,april,97,0
2303,interstate,97,0
1012,determination,97,0
657,january,97,0
6,never,97,0
1650,care,97,0
620,revenue,97,0
2646,independent,97,0
301,march,96,0
617,stock,96,0
1373,military,96,0
3459,unreasonable,96,0
422,man,96,0
696,allegedly,96,0
1332,said,96,0
1624,prohibits,96,0
956,declined,95,0
2386,michael,95,0
1702,discharge,95,0
452,area,95,0
309,still,95,0
22,actual,95,0
4297,effective,95,0
1171,position,94,0
1785,approved,94,0
5115,benefit,94,0
345,control,94,0
384,amendments,94,0
1044,punishment,93,0
1358,racial,93,0
1826,plans,93,0
720,en,93,0
2142,respondents,93,0
1004,committed,93,0
7488,erisa,93,0
2780,hospital,93,0
1928,date,93,0
3611,epa,93,0
7710,disagreed,92,0
105,estate,92,0
2248,majority,92,0
3224,store,92,0
47,mother,92,0
108,according,91,0
619,internal,91,0
693,november,91,0
1003,southern,91,0
2548,eligible,91,0
2481,harris,91,0
981,former,91,0
899,effect,91,0
653,despite,90,0
3553,indictment,90,0
1941,suits,90,0
721,banc,90,0
401,went,90,0
432,limited,90,0
7194,guidelines,90,0
352,women,90,0
1318,exercise,90,0
2767,meet,90,0
